TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2016-17 Utah Jazz,0.622,100.7,46.6,74.7,3.9
2016-17 Washington Wizards,0.598,109.2,47.5,78.4,1.8
2015-16 Atlanta Hawks,0.585,102.8,45.8,78.3,3.6
2015-16 Boston Celtics,0.585,105.7,43.9,78.8,3.2
2015-16 Brooklyn Nets,0.256,98.6,45.3,75.7,-7.4
2015-16 Charlotte Hornets,0.585,103.4,43.9,79.0,2.7
2015-16 Chicago Bulls,0.512,101.6,44.1,78.7,-1.5
2015-16 Cleveland Cavaliers,0.695,104.3,46.0,74.8,6.0
2015-16 Dallas Mavericks,0.512,102.3,44.4,79.4,-0.3
2015-16 Denver Nuggets,0.402,101.9,44.2,76.6,-3.1
2015-16 Detroit Pistons,0.537,102.0,43.9,66.8,0.6
2015-16 Golden State Warriors,0.89,114.9,48.7,76.3,10.8
2015-16 Houston Rockets,0.5,106.5,45.2,69.4,0.2
2015-16 Indiana Pacers,0.5489999999999999,102.2,45.0,76.4,1.7
2015-16 LA Clippers,0.6459999999999999,104.5,46.5,69.2,4.3
2015-16 Los Angeles Lakers,0.207,97.3,41.4,78.1,-9.6
2015-16 Memphis Grizzlies,0.512,99.1,44.0,78.3,-2.2
2015-16 Miami Heat,0.585,100.0,47.0,74.4,1.6
2015-16 Milwaukee Bucks,0.402,99.0,46.7,74.7,-4.2
2015-16 Minnesota Timberwolves,0.354,102.4,46.4,79.2,-3.5
2015-16 New Orleans Pelicans,0.366,102.7,44.8,77.6,-3.8
2015-16 New York Knicks,0.39,98.4,43.9,80.5,-2.7
2015-16 Oklahoma City Thunder,0.6709999999999999,110.2,47.6,78.2,7.3
2015-16 Orlando Magic,0.4270000000000001,102.1,45.5,75.7,-1.6
2015-16 Philadelphia 76ers,0.122,97.4,43.1,69.4,-10.2
2015-16 Phoenix Suns,0.28,100.9,43.5,75.1,-6.7
2015-16 Portland Trail Blazers,0.537,105.1,45.0,75.4,0.8
2015-16 Sacramento Kings,0.402,106.6,46.4,72.5,-2.5
