TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2006-07 Philadelphia 76ers,0.4270000000000001,94.9,45.8,76.7,-3.0
2006-07 Phoenix Suns,0.7440000000000001,110.2,49.4,80.8,7.3
2006-07 Portland Trail Blazers,0.39,94.1,45.0,76.9,-4.3
2006-07 Sacramento Kings,0.402,101.3,45.0,76.5,-1.8
2006-07 San Antonio Spurs,0.7070000000000001,98.5,47.4,75.1,8.4
2006-07 Seattle SuperSonics,0.378,99.1,46.0,79.1,-2.9
2006-07 Toronto Raptors,0.573,99.5,46.3,78.8,1.0
2006-07 Utah Jazz,0.622,101.5,47.4,74.3,2.9
2006-07 Washington Wizards,0.5,104.3,45.0,76.5,-0.5
2005-06 Atlanta Hawks,0.317,97.2,45.4,75.0,-4.8
2005-06 Boston Celtics,0.402,98.0,46.7,75.5,-1.5
2005-06 Charlotte Bobcats,0.317,96.9,43.3,72.9,-4.0
2005-06 Chicago Bulls,0.5,97.8,44.6,73.8,0.6
2005-06 Cleveland Cavaliers,0.61,97.6,45.4,72.9,2.2
2005-06 Dallas Mavericks,0.732,99.1,46.2,78.3,6.1
2005-06 Denver Nuggets,0.537,100.3,46.1,74.4,0.2
2005-06 Detroit Pistons,0.78,96.8,45.5,72.7,6.7
2005-06 Golden State Warriors,0.415,98.5,43.3,71.8,-1.4
2005-06 Houston Rockets,0.415,90.1,43.3,75.9,-1.6
2005-06 Indiana Pacers,0.5,93.9,44.4,73.7,1.9
2005-06 Los Angeles Clippers,0.573,97.2,46.5,79.1,1.6
2005-06 Los Angeles Lakers,0.5489999999999999,99.4,45.3,74.5,2.5
2005-06 Memphis Grizzlies,0.598,92.2,44.8,71.1,3.7
2005-06 Miami Heat,0.634,99.9,47.8,70.0,3.9
2005-06 Milwaukee Bucks,0.488,97.8,45.3,73.8,-1.0
2005-06 Minnesota Timberwolves,0.402,91.7,45.6,75.8,-1.9
2005-06 New Jersey Nets,0.598,93.8,44.0,75.8,1.4
2005-06 New Orleans/Oklahoma City Hornets,0.463,92.8,44.0,75.8,-2.8
2005-06 New York Knicks,0.28,95.6,45.5,72.6,-6.4
2005-06 Orlando Magic,0.439,94.9,47.2,73.0,-1.1
2005-06 Philadelphia 76ers,0.463,99.4,45.8,76.0,-2.0
2005-06 Phoenix Suns,0.659,108.4,47.9,80.6,5.5
2005-06 Portland Trail Blazers,0.256,88.8,44.5,68.9,-9.5
2005-06 Sacramento Kings,0.537,98.9,45.4,78.4,1.5
2005-06 San Antonio Spurs,0.768,95.6,47.2,70.2,6.8
2005-06 Seattle SuperSonics,0.4270000000000001,102.6,45.9,78.5,-3.0
2005-06 Toronto Raptors,0.329,101.1,45.4,79.1,-3.0
2005-06 Utah Jazz,0.5,92.4,44.2,71.9,-2.6
2005-06 Washington Wizards,0.512,101.7,44.7,75.7,1.9
2004-05 Atlanta Hawks,0.159,92.7,44.1,71.1,-9.7
2004-05 Boston Celtics,0.5489999999999999,101.3,46.8,76.4,0.9
2004-05 Charlotte Bobcats,0.22,94.3,43.2,70.9,-6.0
2004-05 Chicago Bulls,0.573,94.5,43.2,75.0,1.1
2004-05 Cleveland Cavaliers,0.512,96.5,44.7,75.2,0.8
2004-05 Dallas Mavericks,0.7070000000000001,102.5,45.7,78.9,5.7
2004-05 Denver Nuggets,0.598,99.5,45.9,76.3,2.0
2004-05 Detroit Pistons,0.659,93.3,44.4,73.9,3.9
2004-05 Golden State Warriors,0.415,98.7,43.0,72.2,-2.2
2004-05 Houston Rockets,0.622,95.1,44.3,78.1,4.0
2004-05 Indiana Pacers,0.537,93.0,43.2,79.2,0.8
2004-05 Los Angeles Clippers,0.451,95.7,45.9,77.8,-0.8
2004-05 Los Angeles Lakers,0.415,98.7,43.7,77.7,-3.0
2004-05 Memphis Grizzlies,0.5489999999999999,93.4,44.7,75.4,2.3
2004-05 Miami Heat,0.72,101.5,48.6,67.2,6.5
2004-05 Milwaukee Bucks,0.366,97.2,45.0,77.2,-3.0
2004-05 Minnesota Timberwolves,0.537,96.8,45.9,79.6,1.5
2004-05 New Jersey Nets,0.512,91.4,42.9,76.3,-1.5
2004-05 New Orleans Hornets,0.22,88.4,41.5,76.6,-7.1
2004-05 New York Knicks,0.402,97.3,45.1,76.7,-2.4
2004-05 Orlando Magic,0.439,99.5,45.4,75.9,-2.2
2004-05 Philadelphia 76ers,0.524,99.1,43.7,78.9,-0.7
2004-05 Phoenix Suns,0.7559999999999999,110.4,47.7,74.8,7.1
2004-05 Portland Trail Blazers,0.329,92.9,45.1,72.5,-4.0
2004-05 Sacramento Kings,0.61,103.7,45.9,78.7,2.2
2004-05 San Antonio Spurs,0.72,96.2,45.3,72.4,7.8
2004-05 Seattle SuperSonics,0.634,98.9,44.4,79.0,2.3
2004-05 Toronto Raptors,0.402,99.7,44.4,77.4,-1.6
2004-05 Utah Jazz,0.317,93.0,44.9,75.7,-4.3
2004-05 Washington Wizards,0.5489999999999999,100.5,43.7,72.5,-0.3
2003-04 Atlanta Hawks,0.341,92.8,43.3,77.6,-4.6
2003-04 Boston Celtics,0.439,95.3,44.3,75.0,-1.5
2003-04 Chicago Bulls,0.28,89.7,41.4,72.5,-6.4
2003-04 Cleveland Cavaliers,0.4270000000000001,92.9,43.3,75.3,-2.6
2003-04 Dallas Mavericks,0.634,105.2,45.9,79.6,4.4
2003-04 Denver Nuggets,0.524,97.2,44.3,76.7,1.1
2003-04 Detroit Pistons,0.659,90.1,43.5,75.3,5.8
2003-04 Golden State Warriors,0.451,93.3,44.2,72.5,-0.7
2003-04 Houston Rockets,0.5489999999999999,89.8,44.2,77.3,1.7
2003-04 Indiana Pacers,0.7440000000000001,91.4,43.5,76.4,5.8
2003-04 Los Angeles Clippers,0.341,94.8,42.8,78.5,-4.6
2003-04 Los Angeles Lakers,0.6829999999999999,98.2,45.4,69.3,3.9
2003-04 Memphis Grizzlies,0.61,96.7,44.5,72.7,2.4
2003-04 Miami Heat,0.512,90.3,42.5,76.2,0.5
2003-04 Milwaukee Bucks,0.5,98.0,44.7,77.5,1.1
2003-04 Minnesota Timberwolves,0.7070000000000001,94.5,46.2,78.1,5.5
2003-04 New Jersey Nets,0.573,90.3,44.1,75.3,2.5
2003-04 New Orleans Hornets,0.5,91.8,42.0,75.1,-0.1
2003-04 New York Knicks,0.476,92.0,44.2,79.3,-1.5
2003-04 Orlando Magic,0.256,94.0,42.9,73.7,-7.0
2003-04 Philadelphia 76ers,0.402,88.0,42.8,75.3,-2.5
2003-04 Phoenix Suns,0.354,94.2,44.3,74.6,-3.7
2003-04 Portland Trail Blazers,0.5,90.7,44.8,73.1,-1.3
2003-04 Sacramento Kings,0.6709999999999999,102.8,46.2,79.5,5.0
2003-04 San Antonio Spurs,0.695,91.5,44.2,68.1,7.2
2003-04 Seattle SuperSonics,0.451,97.1,44.6,76.5,-0.6
2003-04 Toronto Raptors,0.402,85.4,41.8,75.0,-3.0
2003-04 Utah Jazz,0.512,88.7,43.6,74.6,-1.2
2003-04 Washington Wizards,0.305,91.8,42.1,71.4,-5.6
2002-03 Atlanta Hawks,0.4270000000000001,94.1,44.4,79.3,-3.6
2002-03 Boston Celtics,0.537,92.7,41.5,74.2,-0.4
2002-03 Chicago Bulls,0.366,95.0,44.5,72.2,-5.1
2002-03 Cleveland Cavaliers,0.207,91.4,42.2,74.7,-9.6
2002-03 Dallas Mavericks,0.732,103.0,45.3,82.9,7.8
2002-03 Denver Nuggets,0.207,84.2,41.1,69.9,-8.3
2002-03 Detroit Pistons,0.61,91.4,43.0,77.1,3.7
2002-03 Golden State Warriors,0.463,102.4,44.1,77.8,-1.1
2002-03 Houston Rockets,0.524,93.8,44.0,76.8,1.5
2002-03 Indiana Pacers,0.585,96.8,44.1,76.6,3.5
2002-03 Los Angeles Clippers,0.329,93.8,43.7,75.0,-4.1
2002-03 Los Angeles Lakers,0.61,100.4,45.1,73.4,2.3
2002-03 Memphis Grizzlies,0.341,97.5,45.2,73.9,-3.2
2002-03 Miami Heat,0.305,85.6,41.2,76.5,-5.0
2002-03 Milwaukee Bucks,0.512,99.5,45.7,77.6,0.2
2002-03 Minnesota Timberwolves,0.622,98.1,46.6,77.0,2.1
2002-03 New Jersey Nets,0.598,95.4,44.1,75.7,5.2
2002-03 New Orleans Hornets,0.573,93.9,43.5,76.8,2.1
2002-03 New York Knicks,0.451,95.9,44.1,81.5,-1.4
2002-03 Orlando Magic,0.512,98.5,43.6,77.7,0.1
2002-03 Philadelphia 76ers,0.585,96.8,44.8,77.5,2.3
2002-03 Phoenix Suns,0.537,95.5,44.3,74.2,1.1
2002-03 Portland Trail Blazers,0.61,95.2,46.0,74.5,2.6
2002-03 Sacramento Kings,0.72,101.7,46.4,74.6,6.5
2002-03 San Antonio Spurs,0.732,95.8,46.2,72.5,5.4
2002-03 Seattle SuperSonics,0.488,92.1,43.7,74.4,-0.1
2002-03 Toronto Raptors,0.293,90.9,42.7,71.8,-5.9
2002-03 Utah Jazz,0.573,94.7,46.8,74.5,2.4
2002-03 Washington Wizards,0.451,91.5,44.0,77.9,-1.0
2001-02 Atlanta Hawks,0.402,94.0,43.9,76.5,-4.2
2001-02 Boston Celtics,0.598,96.4,42.4,76.4,2.2
2001-02 Charlotte Hornets,0.537,93.9,44.0,74.5,1.0
2001-02 Chicago Bulls,0.256,89.5,43.3,72.2,-8.5
2001-02 Cleveland Cavaliers,0.354,95.3,44.8,77.2,-3.3
2001-02 Dallas Mavericks,0.695,105.2,46.2,80.6,4.3
2001-02 Denver Nuggets,0.329,92.2,42.4,74.4,-5.8
2001-02 Detroit Pistons,0.61,94.3,45.2,75.6,2.1
2001-02 Golden State Warriors,0.256,97.7,42.9,72.2,-5.4
2001-02 Houston Rockets,0.341,92.3,42.8,74.1,-4.9
2001-02 Indiana Pacers,0.512,96.8,44.6,77.2,0.3
2001-02 Los Angeles Clippers,0.476,95.7,44.5,73.9,-0.5
2001-02 Los Angeles Lakers,0.7070000000000001,101.3,46.1,69.9,7.1
2001-02 Memphis Grizzlies,0.28,89.9,43.6,70.8,-7.4
2001-02 Miami Heat,0.439,87.2,43.9,72.4,-1.5
2001-02 Milwaukee Bucks,0.5,97.5,46.2,74.8,-0.2
2001-02 Minnesota Timberwolves,0.61,99.3,46.1,79.8,3.4
2001-02 New Jersey Nets,0.634,96.2,44.6,73.5,4.2
2001-02 New York Knicks,0.366,91.6,43.2,78.7,-4.0
2001-02 Orlando Magic,0.537,100.5,44.8,75.4,1.6
2001-02 Philadelphia 76ers,0.524,91.0,43.6,77.9,1.6
2001-02 Phoenix Suns,0.439,95.1,44.7,76.7,-0.7
2001-02 Portland Trail Blazers,0.598,96.6,45.0,76.3,3.0
2001-02 Sacramento Kings,0.7440000000000001,104.6,46.7,75.1,7.6
2001-02 San Antonio Spurs,0.7070000000000001,96.7,45.8,74.2,6.2
2001-02 Seattle SuperSonics,0.5489999999999999,97.7,46.9,75.5,3.0
2001-02 Toronto Raptors,0.512,91.4,43.4,73.9,-0.4
2001-02 Utah Jazz,0.537,96.0,45.0,76.3,0.9
2001-02 Washington Wizards,0.451,92.8,44.1,76.5,-1.4
2000-01 Atlanta Hawks,0.305,91.0,43.1,75.9,-5.2
2000-01 Boston Celtics,0.439,94.6,42.8,74.0,-2.1
2000-01 Charlotte Hornets,0.561,91.9,43.1,74.5,2.1
2000-01 Chicago Bulls,0.183,87.6,42.4,73.9,-9.1
2000-01 Cleveland Cavaliers,0.366,92.2,44.2,76.5,-4.2
2000-01 Dallas Mavericks,0.6459999999999999,100.5,45.9,79.4,4.3
2000-01 Denver Nuggets,0.488,96.6,43.3,73.7,-2.5
2000-01 Detroit Pistons,0.39,95.6,42.4,72.1,-1.7
2000-01 Golden State Warriors,0.207,92.5,40.9,70.6,-9.0
2000-01 Houston Rockets,0.5489999999999999,97.2,45.3,75.8,2.3
2000-01 Indiana Pacers,0.5,92.6,44.0,76.6,-0.2
2000-01 Los Angeles Clippers,0.378,92.5,44.8,69.3,-2.9
2000-01 Los Angeles Lakers,0.6829999999999999,100.6,46.5,68.3,3.4
2000-01 Miami Heat,0.61,88.9,43.0,75.9,2.3
2000-01 Milwaukee Bucks,0.634,100.7,45.8,78.7,3.9
2000-01 Minnesota Timberwolves,0.573,97.3,45.8,78.5,1.4
2000-01 New Jersey Nets,0.317,92.1,42.5,75.9,-5.0
2000-01 New York Knicks,0.585,88.7,44.4,79.6,2.6
2000-01 Orlando Magic,0.524,97.5,43.8,71.4,1.0
2000-01 Philadelphia 76ers,0.6829999999999999,94.7,44.7,74.5,4.3
2000-01 Phoenix Suns,0.622,94.0,43.6,75.5,2.2
2000-01 Portland Trail Blazers,0.61,95.4,46.8,76.2,4.2
2000-01 Sacramento Kings,0.6709999999999999,101.7,44.9,77.1,5.8
2000-01 San Antonio Spurs,0.7070000000000001,96.2,46.1,71.5,7.8
2000-01 Seattle SuperSonics,0.537,97.3,45.6,73.2,0.0
2000-01 Toronto Raptors,0.573,97.6,43.7,74.7,2.3
2000-01 Utah Jazz,0.6459999999999999,97.1,47.1,75.2,4.7
2000-01 Vancouver Grizzlies,0.28,91.7,43.9,77.0,-5.7
2000-01 Washington Wizards,0.232,93.2,43.9,75.9,-6.7
